team,code,value
Brazil,BRA,3.590384615384615
Argentina,ARG,5.380769230769231
France,FRA,6.809615384615385
England,ENG,8.26923076923077
Spain,ESP,8.28076923076923
Germany,GER,10.649999999999999
Netherlands,NED,12.788461538461538
Portugal,POR,15.2
Belgium,BEL,16.53846153846154
Denmark,DEN,28.423076923076923
Uruguay,URU,44.23076923076923
Croatia,CRO,50.65384615384615
Serbia,SRB,96.84615384615384
Switzerland,SUI,97.57692307692308
Senegal,SEN,107.73076923076923
Mexico,MEX,154.34615384615384
USA,USA,159.65384615384616
Poland,POL,171.65384615384616
Wales,WAL,207.30769230769232
Ecuador,ECU,208.30769230769232
Morocco,MAR,258.7307692307692
Japan,JPN,284.88461538461536
South Korea,KOR,299.96153846153845
Canada,CAN,329.3076923076923
Ghana,GHA,336.88461538461536
Cameroon,CMR,357.46153846153845
Qatar,QAT,394.2307692307692
Australia,AUS,423.65384615384613
Iran,IRN,492.34615384615387
Tunisia,TUN,586.3846153846154
Saudi Arabia,KSA,686.5769230769231
Costa Rica,CRC,734.6538461538462
